_id,Province,Waste_generated,หน่วย
1,กระบี่, 558.00 ,ตัน/วัน
2,กรุงเทพมหานคร," 12,847.00 ",ตัน/วัน
3,กาญจนบุรี, 875.00 ,ตัน/วัน
4,กาฬสินธุ์, 530.00 ,ตัน/วัน
5,กำแพงเพชร, 522.00 ,ตัน/วัน
6,ขอนแก่น," 1,390.00 ",ตัน/วัน
7,จันทบุรี, 550.00 ,ตัน/วัน
8,ฉะเชิงเทรา, 683.00 ,ตัน/วัน
9,ชลบุรี," 3,228.00 ",ตัน/วัน
10,ชัยนาท, 330.00 ,ตัน/วัน
11,ชัยภูมิ, 971.00 ,ตัน/วัน
12,ชุมพร, 517.00 ,ตัน/วัน
13,ตรัง, 655.00 ,ตัน/วัน
14,ตราด, 215.00 ,ตัน/วัน
15,ตาก, 719.00 ,ตัน/วัน
16,นครนายก, 242.00 ,ตัน/วัน
17,นครปฐม," 1,368.00 ",ตัน/วัน
18,นครพนม, 672.00 ,ตัน/วัน
19,นครราชสีมา," 2,562.00 ",ตัน/วัน
20,นครศรีธรรมราช," 1,120.00 ",ตัน/วัน
21,นครสวรรค์, 885.00 ,ตัน/วัน
22,นนทบุรี," 2,085.00 ",ตัน/วัน
23,นราธิวาส, 777.00 ,ตัน/วัน
24,น่าน, 240.00 ,ตัน/วัน
25,บึงกาฬ, 323.00 ,ตัน/วัน
26,บุรีรัมย์," 1,310.00 ",ตัน/วัน
27,ปทุมธานี," 2,080.00 ",ตัน/วัน
28,ประจวบคีรีขันธ์, 593.00 ,ตัน/วัน
29,ปราจีนบุรี, 460.00 ,ตัน/วัน
30,ปัตตานี, 697.00 ,ตัน/วัน
31,พระนครศรีอยุธยา," 1,120.00 ",ตัน/วัน
32,พะเยา, 250.00 ,ตัน/วัน
33,พังงา, 307.00 ,ตัน/วัน
34,พัทลุง, 512.00 ,ตัน/วัน
35,พิจิตร, 296.00 ,ตัน/วัน
36,พิษณุโลก, 802.00 ,ตัน/วัน
37,ภูเก็ต," 1,000.00 ",ตัน/วัน
38,มหาสารคาม, 613.00 ,ตัน/วัน
39,มุกดาหาร, 294.00 ,ตัน/วัน
40,ยะลา, 350.00 ,ตัน/วัน
41,ยโสธร, 403.00 ,ตัน/วัน
42,ระนอง, 234.00 ,ตัน/วัน
43,ระยอง," 1,602.00 ",ตัน/วัน
44,ราชบุรี, 882.00 ,ตัน/วัน
45,ร้อยเอ็ด, 985.00 ,ตัน/วัน
46,ลพบุรี, 774.00 ,ตัน/วัน
47,ลำปาง, 435.00 ,ตัน/วัน
48,ลำพูน, 303.00 ,ตัน/วัน
49,ศรีสะเกษ, 675.00 ,ตัน/วัน
50,สกลนคร, 850.00 ,ตัน/วัน
51,สงขลา," 1,596.00 ",ตัน/วัน
52,สตูล, 370.00 ,ตัน/วัน
53,สมุทรปราการ," 3,177.00 ",ตัน/วัน
54,สมุทรสงคราม, 181.00 ,ตัน/วัน
55,สมุทรสาคร," 1,007.00 ",ตัน/วัน
56,สระบุรี, 621.00 ,ตัน/วัน
57,สระแก้ว, 534.00 ,ตัน/วัน
58,สิงห์บุรี, 198.00 ,ตัน/วัน
59,สุพรรณบุรี, 878.00 ,ตัน/วัน
60,สุราษฎร์ธานี," 1,311.00 ",ตัน/วัน
61,สุรินทร์," 1,377.00 ",ตัน/วัน
62,สุโขทัย, 549.00 ,ตัน/วัน
63,หนองคาย, 488.00 ,ตัน/วัน
64,หนองบัวลำภู, 274.00 ,ตัน/วัน
65,อำนาจเจริญ, 225.00 ,ตัน/วัน
66,อุดรธานี," 1,577.00 ",ตัน/วัน
67,อุตรดิตถ์, 422.00 ,ตัน/วัน
68,อุทัยธานี, 210.00 ,ตัน/วัน
69,อุบลราชธานี," 1,523.00 ",ตัน/วัน
70,อ่างทอง, 210.00 ,ตัน/วัน
71,เชียงราย, 940.00 ,ตัน/วัน
72,เชียงใหม่," 1,635.00 ",ตัน/วัน
73,เพชรบุรี, 469.00 ,ตัน/วัน
74,เพชรบูรณ์, 907.00 ,ตัน/วัน
75,เลย, 655.00 ,ตัน/วัน
76,แพร่, 290.00 ,ตัน/วัน
77,แม่ฮ่องสอน, 214.00 ,ตัน/วัน
